SUBMIT$7320461393185366016$NJ4GNBSAX0000693$REALTIME$TIME:20250509092725,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.00,4033:0,2204:3.7,2603:28.7015220,2602:113.0613520,3012:220,3013:83,3014:20250509092721,3015:19,3016:12,4014:0,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7320466353637707776$NJ4GNBSAX0000693$REALTIME$TIME:20250509094707,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999190,2602:113.0584050,3012:0,3013:84,3014:20250509094655,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466353641902080$NJ4GNBSAX0000693$REALTIME$TIME:20250509094707,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584050,3012:0,3013:84,3014:20250509094656,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466353646096384$NJ4GNBSAX0000693$REALTIME$TIME:20250509094707,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584050,3012:0,3013:84,3014:20250509094657,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466353650290688$NJ4GNBSAX0000693$REALTIME$TIME:20250509094707,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584050,3012:0,3013:84,3014:20250509094658,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466353654484992$NJ4GNBSAX0000693$REALTIME$TIME:20250509094707,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584050,3012:0,3013:84,3014:20250509094659,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466353658679296$NJ4GNBSAX0000693$REALTIME$TIME:20250509094707,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584060,3012:0,3013:84,3014:20250509094700,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466353662873600$NJ4GNBSAX0000693$REALTIME$TIME:20250509094707,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584060,3012:0,3013:84,3014:20250509094701,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466375653617664$NJ4GNBSAX0000693$REALTIME$TIME:20250509094713,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584060,3012:0,3013:84,3014:20250509094702,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466375657811968$NJ4GNBSAX0000693$REALTIME$TIME:20250509094713,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584060,3012:0,3013:84,3014:20250509094703,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466375662006272$NJ4GNBSAX0000693$REALTIME$TIME:20250509094713,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584060,3012:0,3013:84,3014:20250509094704,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466375666200576$NJ4GNBSAX0000693$REALTIME$TIME:20250509094713,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999190,2602:113.0584060,3012:0,3013:84,3014:20250509094705,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466375674589184$NJ4GNBSAX0000693$REALTIME$TIME:20250509094713,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999190,2602:113.0584050,3012:0,3013:84,3014:20250509094706,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466375678783488$NJ4GNBSAX0000693$REALTIME$TIME:20250509094713,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999190,2602:113.0584060,3012:0,3013:84,3014:20250509094707,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466375687172096$NJ4GNBSAX0000693$REALTIME$TIME:20250509094713,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999190,2602:113.0584060,3012:0,3013:85,3014:20250509094709,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466375691366400$NJ4GNBSAX0000693$REALTIME$TIME:20250509094713,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:19,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999190,2602:113.0584060,3012:0,3013:85,3014:20250509094710,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466420113248256$NJ4GNBSAX0000693$REALTIME$TIME:20250509094723,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584060,3012:0,3013:85,3014:20250509094712,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466420117442560$NJ4GNBSAX0000693$REALTIME$TIME:20250509094723,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584060,3012:0,3013:85,3014:20250509094713,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466420121636864$NJ4GNBSAX0000693$REALTIME$TIME:20250509094723,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584060,3012:0,3013:85,3014:20250509094714,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466420125831168$NJ4GNBSAX0000693$REALTIME$TIME:20250509094723,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584060,3012:0,3013:85,3014:20250509094715,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466420130025472$NJ4GNBSAX0000693$REALTIME$TIME:20250509094723,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584070,3012:0,3013:85,3014:20250509094716,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466420134219776$NJ4GNBSAX0000693$REALTIME$TIME:20250509094723,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584070,3012:0,3013:85,3014:20250509094717,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466420138414080$NJ4GNBSAX0000693$REALTIME$TIME:20250509094723,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584070,3012:0,3013:85,3014:20250509094718,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466420142608384$NJ4GNBSAX0000693$REALTIME$TIME:20250509094723,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584070,3012:0,3013:85,3014:20250509094719,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466420146802688$NJ4GNBSAX0000693$REALTIME$TIME:20250509094723,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584070,3012:0,3013:85,3014:20250509094720,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466420150996992$NJ4GNBSAX0000693$REALTIME$TIME:20250509094723,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584070,3012:0,3013:85,3014:20250509094721,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466464325382144$NJ4GNBSAX0000693$REALTIME$TIME:20250509094734,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584070,3012:0,3013:85,3014:20250509094722,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466464329576448$NJ4GNBSAX0000693$REALTIME$TIME:20250509094734,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584070,3012:0,3013:85,3014:20250509094723,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466464333770752$NJ4GNBSAX0000693$REALTIME$TIME:20250509094734,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584070,3012:0,3013:85,3014:20250509094724,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466464337965056$NJ4GNBSAX0000693$REALTIME$TIME:20250509094734,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584070,3012:0,3013:85,3014:20250509094725,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466464342159360$NJ4GNBSAX0000693$REALTIME$TIME:20250509094734,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584070,3012:0,3013:85,3014:20250509094726,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466464350547968$NJ4GNBSAX0000693$REALTIME$TIME:20250509094734,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584070,3012:0,3013:85,3014:20250509094727,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466464354742272$NJ4GNBSAX0000693$REALTIME$TIME:20250509094734,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094728,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466464358936576$NJ4GNBSAX0000693$REALTIME$TIME:20250509094734,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094730,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466464363130880$NJ4GNBSAX0000693$REALTIME$TIME:20250509094734,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094731,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466530289205248$NJ4GNBSAX0000693$REALTIME$TIME:20250509094750,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094732,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466530293399552$NJ4GNBSAX0000693$REALTIME$TIME:20250509094750,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094733,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466530297593856$NJ4GNBSAX0000693$REALTIME$TIME:20250509094750,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094734,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466530301788160$NJ4GNBSAX0000693$REALTIME$TIME:20250509094750,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094735,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466530305982464$NJ4GNBSAX0000693$REALTIME$TIME:20250509094750,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094736,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466530310176768$NJ4GNBSAX0000693$REALTIME$TIME:20250509094750,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094737,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466530314371072$NJ4GNBSAX0000693$REALTIME$TIME:20250509094750,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094738,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466530318565376$NJ4GNBSAX0000693$REALTIME$TIME:20250509094750,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999170,2602:113.0584080,3012:0,3013:85,3014:20250509094739,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466530322759680$NJ4GNBSAX0000693$REALTIME$TIME:20250509094750,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999170,2602:113.0584080,3012:0,3013:85,3014:20250509094740,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466530326953984$NJ4GNBSAX0000693$REALTIME$TIME:20250509094750,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999170,2602:113.0584080,3012:0,3013:85,3014:20250509094741,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466508185243648$NJ4GNBSAX0000693$REALTIME$TIME:20250509094744,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,2204:0,2603:28.6999170,2602:113.0584080,3012:0,3013:85,3014:20250509094742,3015:20,3016:11,4014:0,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7320466552313495552$NJ4GNBSAX0000693$REALTIME$TIME:20250509094755,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999170,2602:113.0584080,3012:0,3013:85,3014:20250509094743,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466552317689856$NJ4GNBSAX0000693$REALTIME$TIME:20250509094755,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999170,2602:113.0584080,3012:0,3013:85,3014:20250509094744,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466552321884160$NJ4GNBSAX0000693$REALTIME$TIME:20250509094755,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999170,2602:113.0584080,3012:0,3013:85,3014:20250509094745,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466552326078464$NJ4GNBSAX0000693$REALTIME$TIME:20250509094755,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999170,2602:113.0584080,3012:0,3013:85,3014:20250509094746,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320466552330272768$NJ4GNBSAX0000693$REALTIME$TIME:20250509094755,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094747,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466552338661376$NJ4GNBSAX0000693$REALTIME$TIME:20250509094755,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094748,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466552342855680$NJ4GNBSAX0000693$REALTIME$TIME:20250509094755,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094749,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466552347049984$NJ4GNBSAX0000693$REALTIME$TIME:20250509094755,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999180,2602:113.0584080,3012:0,3013:85,3014:20250509094751,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466596219465728$NJ4GNBSAX0000693$REALTIME$TIME:20250509094805,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999190,2602:113.0584080,3012:0,3013:85,3014:20250509094752,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466596223660032$NJ4GNBSAX0000693$REALTIME$TIME:20250509094805,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999190,2602:113.0584080,3012:0,3013:85,3014:20250509094753,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466596227854336$NJ4GNBSAX0000693$REALTIME$TIME:20250509094805,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999190,2602:113.0584080,3012:0,3013:85,3014:20250509094754,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466596232048640$NJ4GNBSAX0000693$REALTIME$TIME:20250509094805,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999190,2602:113.0584080,3012:0,3013:85,3014:20250509094755,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466596236242944$NJ4GNBSAX0000693$REALTIME$TIME:20250509094805,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584090,3012:0,3013:85,3014:20250509094756,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466596240437248$NJ4GNBSAX0000693$REALTIME$TIME:20250509094805,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584090,3012:0,3013:85,3014:20250509094757,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466596244631552$NJ4GNBSAX0000693$REALTIME$TIME:20250509094805,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584090,3012:0,3013:85,3014:20250509094758,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466596248825856$NJ4GNBSAX0000693$REALTIME$TIME:20250509094805,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584090,3012:0,3013:85,3014:20250509094759,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466596253020160$NJ4GNBSAX0000693$REALTIME$TIME:20250509094805,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999200,2602:113.0584090,3012:0,3013:85,3014:20250509094800,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466596257214464$NJ4GNBSAX0000693$REALTIME$TIME:20250509094805,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999210,2602:113.0584090,3012:0,3013:85,3014:20250509094801,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466640049946624$NJ4GNBSAX0000693$REALTIME$TIME:20250509094816,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999210,2602:113.0584090,3012:0,3013:85,3014:20250509094802,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466640054140928$NJ4GNBSAX0000693$REALTIME$TIME:20250509094816,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999210,2602:113.0584090,3012:0,3013:85,3014:20250509094803,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466640058335232$NJ4GNBSAX0000693$REALTIME$TIME:20250509094816,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999210,2602:113.0584080,3012:0,3013:85,3014:20250509094804,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466640062529536$NJ4GNBSAX0000693$REALTIME$TIME:20250509094816,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999210,2602:113.0584080,3012:0,3013:85,3014:20250509094805,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466640066723840$NJ4GNBSAX0000693$REALTIME$TIME:20250509094816,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999220,2602:113.0584080,3012:0,3013:85,3014:20250509094806,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466640070918144$NJ4GNBSAX0000693$REALTIME$TIME:20250509094816,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999220,2602:113.0584080,3012:0,3013:85,3014:20250509094807,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466640075112448$NJ4GNBSAX0000693$REALTIME$TIME:20250509094816,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999220,2602:113.0584080,3012:0,3013:85,3014:20250509094808,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466640083501056$NJ4GNBSAX0000693$REALTIME$TIME:20250509094816,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999220,2602:113.0584070,3012:0,3013:85,3014:20250509094809,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466640087695360$NJ4GNBSAX0000693$REALTIME$TIME:20250509094816,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:20,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999220,2602:113.0584070,3012:0,3013:85,3014:20250509094810,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466684064976896$NJ4GNBSAX0000693$REALTIME$TIME:20250509094826,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:21,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999220,2602:113.0584070,3012:0,3013:85,3014:20250509094812,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466684069171200$NJ4GNBSAX0000693$REALTIME$TIME:20250509094826,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:21,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999220,2602:113.0584070,3012:0,3013:85,3014:20250509094813,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466684073365504$NJ4GNBSAX0000693$REALTIME$TIME:20250509094826,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:21,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999220,2602:113.0584070,3012:0,3013:85,3014:20250509094814,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466684077559808$NJ4GNBSAX0000693$REALTIME$TIME:20250509094826,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:21,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999220,2602:113.0584070,3012:0,3013:85,3014:20250509094815,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466684081754112$NJ4GNBSAX0000693$REALTIME$TIME:20250509094826,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:21,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999220,2602:113.0584080,3012:0,3013:85,3014:20250509094816,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466684085948416$NJ4GNBSAX0000693$REALTIME$TIME:20250509094826,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:21,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999210,2602:113.0584080,3012:0,3013:85,3014:20250509094817,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466684090142720$NJ4GNBSAX0000693$REALTIME$TIME:20250509094826,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:21,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999210,2602:113.0584080,3012:0,3013:85,3014:20250509094818,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466684094337024$NJ4GNBSAX0000693$REALTIME$TIME:20250509094826,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:21,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999210,2602:113.0584080,3012:0,3013:85,3014:20250509094819,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320466684098531328$NJ4GNBSAX0000693$REALTIME$TIME:20250509094826,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:1.61,4033:21,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6999210,2602:113.0584080,3012:0,3013:85,3014:20250509094820,3015:20,3016:11,4014:0,2601:0,3019:0
