SUBMIT$7353043851214733312$EC73BD2504030074$REALTIME$TIME:20250807071828,gw:farm,3004:55,4042:1,4030:1,4031:0,4032:0.00,4033:0,2603:0.00000000,2602:0.00000000,2204:0,3012:0,3013:0,3014:20250807071828,3015:0,3016:56,4014:99,4430:0,2601:1,3019:0,4403:1,4404:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7353058604322549760$EC73BD2504030074$REALTIME$TIME:20250807081706,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.64,4033:58,4040:0,4041:0,4043:0,4044:1,2204:4.7,2603:29.10717838,2602:118.95613221,3012:255,3013:89,3014:20250807081702,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058604326744064$EC73BD2504030074$REALTIME$TIME:20250807081706,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.64,4033:58,4040:0,4041:0,4043:0,4044:1,2204:5,2603:29.10717548,2602:118.95611800,3012:259,3013:89,3014:20250807081703,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058604330938368$EC73BD2504030074$REALTIME$TIME:20250807081706,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.64,4033:58,4040:0,4041:0,4043:0,4044:1,2204:5,2603:29.10717150,2602:118.95610468,3012:251,3013:89,3014:20250807081704,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058604335132672$EC73BD2504030074$REALTIME$TIME:20250807081706,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.64,4033:58,4040:0,4041:0,4043:0,4044:1,2204:5,2603:29.10716710,2602:118.95609073,3012:205,3013:89,3014:20250807081705,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058646408192000$EC73BD2504030074$REALTIME$TIME:20250807081716,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.71,4033:58,4040:0,4041:0,4043:0,4044:1,2204:5.5,2603:29.10716283,2602:118.95607680,3012:222,3013:89,3014:20250807081706,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058646412386304$EC73BD2504030074$REALTIME$TIME:20250807081716,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.71,4033:58,4040:0,4041:0,4043:0,4044:1,2204:4.4,2603:29.10715909,2602:118.95606320,3012:242,3013:89,3014:20250807081707,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058646416580608$EC73BD2504030074$REALTIME$TIME:20250807081716,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.71,4033:58,4040:0,4041:0,4043:0,4044:1,2204:5.2,2603:29.10715491,2602:118.95604871,3012:215,3013:89,3014:20250807081708,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058646420774912$EC73BD2504030074$REALTIME$TIME:20250807081716,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.71,4033:58,4040:0,4041:0,4043:0,4044:1,2204:4.3,2603:29.10715041,2602:118.95603443,3012:232,3013:89,3014:20250807081709,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058646424969216$EC73BD2504030074$REALTIME$TIME:20250807081716,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.71,4033:58,4040:0,4041:0,4043:0,4044:1,2204:7.2,2603:29.10714613,2602:118.95601975,3012:227,3013:89,3014:20250807081710,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058646429163520$EC73BD2504030074$REALTIME$TIME:20250807081716,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.71,4033:58,4040:0,4041:0,4043:0,4044:1,2204:6.1,2603:29.10714223,2602:118.95600588,3012:237,3013:89,3014:20250807081711,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058646433357824$EC73BD2504030074$REALTIME$TIME:20250807081716,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.71,4033:58,4040:0,4041:0,4043:0,4044:1,2204:5.5,2603:29.10713768,2602:118.95599220,3012:252,3013:89,3014:20250807081712,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058646437552128$EC73BD2504030074$REALTIME$TIME:20250807081716,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.71,4033:58,4040:0,4041:0,4043:0,4044:1,2204:5.1,2603:29.10713285,2602:118.95597836,3012:279,3013:89,3014:20250807081713,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058646441746432$EC73BD2504030074$REALTIME$TIME:20250807081716,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.71,4033:58,4040:0,4041:0,4043:0,4044:1,2204:4.6,2603:29.10712848,2602:118.95596380,3012:251,3013:89,3014:20250807081714,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058646445940736$EC73BD2504030074$REALTIME$TIME:20250807081716,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.71,4033:58,4040:0,4041:0,4043:0,4044:1,2204:6.1,2603:29.10712540,2602:118.95594966,3012:241,3013:89,3014:20250807081715,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058688602902528$EC73BD2504030074$REALTIME$TIME:20250807081726,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:4.7,2603:29.10712175,2602:118.95593540,3012:270,3013:89,3014:20250807081716,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058688607096832$EC73BD2504030074$REALTIME$TIME:20250807081726,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:5.5,2603:29.10711818,2602:118.95592165,3012:267,3013:89,3014:20250807081717,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058688611291136$EC73BD2504030074$REALTIME$TIME:20250807081726,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:5.6,2603:29.10711411,2602:118.95590664,3012:239,3013:89,3014:20250807081718,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058688615485440$EC73BD2504030074$REALTIME$TIME:20250807081726,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:6.5,2603:29.10710918,2602:118.95589300,3012:251,3013:89,3014:20250807081719,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058688619679744$EC73BD2504030074$REALTIME$TIME:20250807081726,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:5.7,2603:29.10710431,2602:118.95587886,3012:276,3013:89,3014:20250807081720,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058688623874048$EC73BD2504030074$REALTIME$TIME:20250807081726,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:5.5,2603:29.10709905,2602:118.95586478,3012:241,3013:89,3014:20250807081721,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058688628068352$EC73BD2504030074$REALTIME$TIME:20250807081726,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:5,2603:29.10709503,2602:118.95585110,3012:245,3013:89,3014:20250807081722,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058688632262656$EC73BD2504030074$REALTIME$TIME:20250807081726,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:3.2,2603:29.10709088,2602:118.95583781,3012:245,3013:89,3014:20250807081723,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058688636456960$EC73BD2504030074$REALTIME$TIME:20250807081726,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:3.5,2603:29.10708806,2602:118.95582838,3012:247,3013:89,3014:20250807081724,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058688640651264$EC73BD2504030074$REALTIME$TIME:20250807081726,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:29.10708511,2602:118.95582025,3012:248,3013:89,3014:20250807081725,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058730881490944$EC73BD2504030074$REALTIME$TIME:20250807081736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:0.4,2603:29.10708486,2602:118.95581865,3012:273,3013:89,3014:20250807081726,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058730885685248$EC73BD2504030074$REALTIME$TIME:20250807081736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708460,2602:118.95581879,3012:322,3013:89,3014:20250807081727,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058730889879552$EC73BD2504030074$REALTIME$TIME:20250807081736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708451,2602:118.95581866,3012:10,3013:89,3014:20250807081728,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058730894073856$EC73BD2504030074$REALTIME$TIME:20250807081736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708456,2602:118.95581871,3012:327,3013:89,3014:20250807081730,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058730898268160$EC73BD2504030074$REALTIME$TIME:20250807081736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708445,2602:118.95581863,3012:16,3013:89,3014:20250807081731,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058730902462464$EC73BD2504030074$REALTIME$TIME:20250807081736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708450,2602:118.95581866,3012:227,3013:89,3014:20250807081732,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058730906656768$EC73BD2504030074$REALTIME$TIME:20250807081736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708455,2602:118.95581873,3012:1,3013:89,3014:20250807081733,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058730910851072$EC73BD2504030074$REALTIME$TIME:20250807081736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708446,2602:118.95581866,3012:43,3013:89,3014:20250807081734,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058730915045376$EC73BD2504030074$REALTIME$TIME:20250807081736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708448,2602:118.95581866,3012:72,3013:89,3014:20250807081735,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058730919239680$EC73BD2504030074$REALTIME$TIME:20250807081736,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:58,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708448,2602:118.95581866,3012:211,3013:89,3014:20250807081736,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058772824522752$EC73BD2504030074$REALTIME$TIME:20250807081746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708455,2602:118.95581860,3012:70,3013:89,3014:20250807081737,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058772828717056$EC73BD2504030074$REALTIME$TIME:20250807081746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708456,2602:118.95581871,3012:341,3013:89,3014:20250807081738,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058772832911360$EC73BD2504030074$REALTIME$TIME:20250807081746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708455,2602:118.95581866,3012:211,3013:89,3014:20250807081739,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058772837105664$EC73BD2504030074$REALTIME$TIME:20250807081746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708448,2602:118.95581875,3012:72,3013:89,3014:20250807081740,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058772841299968$EC73BD2504030074$REALTIME$TIME:20250807081746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708446,2602:118.95581881,3012:39,3013:89,3014:20250807081741,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058772845494272$EC73BD2504030074$REALTIME$TIME:20250807081746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708451,2602:118.95581873,3012:176,3013:89,3014:20250807081742,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058772849688576$EC73BD2504030074$REALTIME$TIME:20250807081746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708451,2602:118.95581866,3012:292,3013:89,3014:20250807081743,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058772853882880$EC73BD2504030074$REALTIME$TIME:20250807081746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708451,2602:118.95581875,3012:5,3013:89,3014:20250807081744,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058772858077184$EC73BD2504030074$REALTIME$TIME:20250807081746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708450,2602:118.95581868,3012:325,3013:89,3014:20250807081745,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058772862271488$EC73BD2504030074$REALTIME$TIME:20250807081746,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708450,2602:118.95581871,3012:20,3013:89,3014:20250807081746,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058815103111168$EC73BD2504030074$REALTIME$TIME:20250807081756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708448,2602:118.95581871,3012:92,3013:89,3014:20250807081747,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058815107305472$EC73BD2504030074$REALTIME$TIME:20250807081756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708453,2602:118.95581865,3012:315,3013:89,3014:20250807081748,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058815111499776$EC73BD2504030074$REALTIME$TIME:20250807081756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708443,2602:118.95581868,3012:315,3013:89,3014:20250807081749,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058815115694080$EC73BD2504030074$REALTIME$TIME:20250807081756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708453,2602:118.95581876,3012:160,3013:89,3014:20250807081750,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058815119888384$EC73BD2504030074$REALTIME$TIME:20250807081756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708455,2602:118.95581878,3012:45,3013:89,3014:20250807081751,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058815124082688$EC73BD2504030074$REALTIME$TIME:20250807081756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708453,2602:118.95581876,3012:320,3013:89,3014:20250807081752,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058815128276992$EC73BD2504030074$REALTIME$TIME:20250807081756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708456,2602:118.95581871,3012:59,3013:89,3014:20250807081753,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058815132471296$EC73BD2504030074$REALTIME$TIME:20250807081756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708468,2602:118.95581866,3012:70,3013:89,3014:20250807081754,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058815136665600$EC73BD2504030074$REALTIME$TIME:20250807081756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708461,2602:118.95581876,3012:173,3013:89,3014:20250807081755,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058815140859904$EC73BD2504030074$REALTIME$TIME:20250807081756,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708456,2602:118.95581875,3012:358,3013:89,3014:20250807081756,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058857234890752$EC73BD2504030074$REALTIME$TIME:20250807081806,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708458,2602:118.95581876,3012:130,3013:89,3014:20250807081757,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058857239085056$EC73BD2504030074$REALTIME$TIME:20250807081806,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708463,2602:118.95581875,3012:158,3013:89,3014:20250807081758,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058857243279360$EC73BD2504030074$REALTIME$TIME:20250807081806,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708461,2602:118.95581873,3012:154,3013:89,3014:20250807081759,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058857251667968$EC73BD2504030074$REALTIME$TIME:20250807081806,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708463,2602:118.95581873,3012:204,3013:89,3014:20250807081800,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058857255862272$EC73BD2504030074$REALTIME$TIME:20250807081806,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708463,2602:118.95581873,3012:326,3013:89,3014:20250807081802,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058857260056576$EC73BD2504030074$REALTIME$TIME:20250807081806,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708451,2602:118.95581878,3012:90,3013:89,3014:20250807081803,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058857264250880$EC73BD2504030074$REALTIME$TIME:20250807081806,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708453,2602:118.95581875,3012:125,3013:89,3014:20250807081804,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058857268445184$EC73BD2504030074$REALTIME$TIME:20250807081806,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708475,2602:118.95581878,3012:197,3013:89,3014:20250807081805,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058857272639488$EC73BD2504030074$REALTIME$TIME:20250807081806,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708436,2602:118.95581930,3012:173,3013:89,3014:20250807081806,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058899324731392$EC73BD2504030074$REALTIME$TIME:20250807081816,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708456,2602:118.95581863,3012:332,3013:89,3014:20250807081807,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058899328925696$EC73BD2504030074$REALTIME$TIME:20250807081816,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708471,2602:118.95581868,3012:204,3013:89,3014:20250807081808,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058899333120000$EC73BD2504030074$REALTIME$TIME:20250807081816,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708450,2602:118.95581885,3012:38,3013:89,3014:20250807081809,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058899337314304$EC73BD2504030074$REALTIME$TIME:20250807081816,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708460,2602:118.95581879,3012:200,3013:89,3014:20250807081810,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058899341508608$EC73BD2504030074$REALTIME$TIME:20250807081816,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708450,2602:118.95581873,3012:195,3013:89,3014:20250807081811,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058899345702912$EC73BD2504030074$REALTIME$TIME:20250807081816,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708451,2602:118.95581876,3012:114,3013:89,3014:20250807081812,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058899349897216$EC73BD2504030074$REALTIME$TIME:20250807081816,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708455,2602:118.95581878,3012:157,3013:89,3014:20250807081813,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058899354091520$EC73BD2504030074$REALTIME$TIME:20250807081816,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708455,2602:118.95581875,3012:116,3013:89,3014:20250807081814,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058899358285824$EC73BD2504030074$REALTIME$TIME:20250807081816,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708461,2602:118.95581871,3012:115,3013:89,3014:20250807081815,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058899362480128$EC73BD2504030074$REALTIME$TIME:20250807081816,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708458,2602:118.95581873,3012:119,3013:89,3014:20250807081816,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058941456494592$EC73BD2504030074$REALTIME$TIME:20250807081826,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708455,2602:118.95581873,3012:82,3013:89,3014:20250807081817,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058941460688896$EC73BD2504030074$REALTIME$TIME:20250807081826,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708453,2602:118.95581870,3012:191,3013:89,3014:20250807081818,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353058941464883200$EC73BD2504030074$REALTIME$TIME:20250807081826,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:12.76,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:29.10708448,2602:118.95581879,3012:277,3013:89,3014:20250807081819,3015:20,3016:51,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
