SUBMIT$7318350011618983936$NJ4GBQSAX0000687$REALTIME$TIME:20250503133732,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.00,4033:0,2204:10.9,2603:28.8453790,2602:113.2050090,3012:236,3013:56,3014:20250503133731,3015:12,3016:12,4014:1,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7318356816688480256$NJ4GBQSAX0000687$REALTIME$TIME:20250503140435,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412750,2602:113.2003430,3012:0,3013:32,3014:20250503140424,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356816692674560$NJ4GBQSAX0000687$REALTIME$TIME:20250503140435,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0.1,2603:28.8412740,2602:113.2003440,3012:0,3013:32,3014:20250503140425,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356816696868864$NJ4GBQSAX0000687$REALTIME$TIME:20250503140435,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412740,2602:113.2003430,3012:0,3013:32,3014:20250503140426,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356816701063168$NJ4GBQSAX0000687$REALTIME$TIME:20250503140435,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412740,2602:113.2003430,3012:0,3013:32,3014:20250503140427,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356816705257472$NJ4GBQSAX0000687$REALTIME$TIME:20250503140435,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412740,2602:113.2003430,3012:0,3013:32,3014:20250503140428,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356816709451776$NJ4GBQSAX0000687$REALTIME$TIME:20250503140435,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412730,2602:113.2003430,3012:0,3013:32,3014:20250503140429,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356816713646080$NJ4GBQSAX0000687$REALTIME$TIME:20250503140435,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412730,2602:113.2003430,3012:0,3013:32,3014:20250503140430,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356816717840384$NJ4GBQSAX0000687$REALTIME$TIME:20250503140435,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412730,2602:113.2003430,3012:0,3013:32,3014:20250503140431,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356816722034688$NJ4GBQSAX0000687$REALTIME$TIME:20250503140435,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412730,2602:113.2003430,3012:0,3013:32,3014:20250503140432,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356816726228992$NJ4GBQSAX0000687$REALTIME$TIME:20250503140435,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412720,2602:113.2003430,3012:0,3013:32,3014:20250503140433,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356859298414592$NJ4GBQSAX0000687$REALTIME$TIME:20250503140445,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412720,2602:113.2003430,3012:0,3013:32,3014:20250503140434,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356859302608896$NJ4GBQSAX0000687$REALTIME$TIME:20250503140445,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412720,2602:113.2003430,3012:0,3013:32,3014:20250503140435,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356859306803200$NJ4GBQSAX0000687$REALTIME$TIME:20250503140445,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412720,2602:113.2003430,3012:0,3013:32,3014:20250503140436,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356859310997504$NJ4GBQSAX0000687$REALTIME$TIME:20250503140445,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8412720,2602:113.2003420,3012:0,3013:32,3014:20250503140437,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356859315191808$NJ4GBQSAX0000687$REALTIME$TIME:20250503140445,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:0.1,2603:28.8412710,2602:113.2003420,3012:0,3013:32,3014:20250503140438,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356859319386112$NJ4GBQSAX0000687$REALTIME$TIME:20250503140445,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:1.7,2603:28.8412680,2602:113.2003390,3012:0,3013:32,3014:20250503140439,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356859323580416$NJ4GBQSAX0000687$REALTIME$TIME:20250503140445,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:3.2,2603:28.8412620,2602:113.2003320,3012:0,3013:32,3014:20250503140440,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356859327774720$NJ4GBQSAX0000687$REALTIME$TIME:20250503140445,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:3,2603:28.8412560,2602:113.2003260,3012:0,3013:32,3014:20250503140441,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356859331969024$NJ4GBQSAX0000687$REALTIME$TIME:20250503140445,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:28.8412510,2602:113.2003200,3012:0,3013:32,3014:20250503140442,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356859336163328$NJ4GBQSAX0000687$REALTIME$TIME:20250503140445,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.83,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.7,2603:28.8412460,2602:113.2003150,3012:0,3013:32,3014:20250503140443,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356903770628096$NJ4GBQSAX0000687$REALTIME$TIME:20250503140455,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.8,2603:28.8412410,2602:113.2003090,3012:0,3013:32,3014:20250503140444,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356903774822400$NJ4GBQSAX0000687$REALTIME$TIME:20250503140455,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:3.1,2603:28.8412350,2602:113.2003030,3012:0,3013:32,3014:20250503140445,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356903779016704$NJ4GBQSAX0000687$REALTIME$TIME:20250503140455,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.5,2603:28.8412300,2602:113.2002980,3012:0,3013:32,3014:20250503140446,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356903783211008$NJ4GBQSAX0000687$REALTIME$TIME:20250503140455,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.6,2603:28.8412250,2602:113.2002930,3012:0,3013:32,3014:20250503140447,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356903787405312$NJ4GBQSAX0000687$REALTIME$TIME:20250503140455,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.5,2603:28.8412200,2602:113.2002880,3012:0,3013:32,3014:20250503140448,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356903791599616$NJ4GBQSAX0000687$REALTIME$TIME:20250503140455,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.5,2603:28.8412160,2602:113.2002830,3012:0,3013:32,3014:20250503140449,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356903795793920$NJ4GBQSAX0000687$REALTIME$TIME:20250503140455,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.6,2603:28.8412110,2602:113.2002770,3012:0,3013:32,3014:20250503140450,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356903799988224$NJ4GBQSAX0000687$REALTIME$TIME:20250503140455,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.7,2603:28.8412060,2602:113.2002720,3012:0,3013:32,3014:20250503140451,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356903804182528$NJ4GBQSAX0000687$REALTIME$TIME:20250503140455,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.7,2603:28.8412010,2602:113.2002670,3012:0,3013:32,3014:20250503140452,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356903808376832$NJ4GBQSAX0000687$REALTIME$TIME:20250503140455,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.5,2603:28.8411960,2602:113.2002620,3012:0,3013:32,3014:20250503140453,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356948234416128$NJ4GBQSAX0000687$REALTIME$TIME:20250503140506,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.6,2603:28.8411910,2602:113.2002570,3012:0,3013:32,3014:20250503140454,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356948238610432$NJ4GBQSAX0000687$REALTIME$TIME:20250503140506,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.7,2603:28.8411860,2602:113.2002520,3012:0,3013:32,3014:20250503140455,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356948242804736$NJ4GBQSAX0000687$REALTIME$TIME:20250503140506,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:28.8411820,2602:113.2002450,3012:0,3013:32,3014:20250503140456,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356948246999040$NJ4GBQSAX0000687$REALTIME$TIME:20250503140506,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.8,2603:28.8411770,2602:113.2002390,3012:0,3013:32,3014:20250503140457,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356948251193344$NJ4GBQSAX0000687$REALTIME$TIME:20250503140506,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.7,2603:28.8411720,2602:113.2002340,3012:0,3013:32,3014:20250503140458,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356948255387648$NJ4GBQSAX0000687$REALTIME$TIME:20250503140506,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:2.6,2603:28.8411670,2602:113.2002290,3012:0,3013:32,3014:20250503140459,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356948259581952$NJ4GBQSAX0000687$REALTIME$TIME:20250503140506,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:3.2,2603:28.8411620,2602:113.2002220,3012:0,3013:32,3014:20250503140500,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356948263776256$NJ4GBQSAX0000687$REALTIME$TIME:20250503140506,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:28.8411550,2602:113.2002140,3012:0,3013:32,3014:20250503140501,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356948267970560$NJ4GBQSAX0000687$REALTIME$TIME:20250503140506,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:28.8411480,2602:113.2002050,3012:0,3013:32,3014:20250503140502,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356948272164864$NJ4GBQSAX0000687$REALTIME$TIME:20250503140506,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.84,4033:1897,4040:0,4041:0,4043:0,4044:1,2204:4,2603:28.8411400,2602:113.2001970,3012:222,3013:32,3014:20250503140503,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356990705946624$NJ4GBQSAX0000687$REALTIME$TIME:20250503140516,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.85,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.6,2603:28.8411330,2602:113.2001910,3012:221,3013:32,3014:20250503140504,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356990710140928$NJ4GBQSAX0000687$REALTIME$TIME:20250503140516,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.85,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:4,2603:28.8411260,2602:113.2001820,3012:224,3013:32,3014:20250503140505,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356990714335232$NJ4GBQSAX0000687$REALTIME$TIME:20250503140516,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.85,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:28.8411200,2602:113.2001740,3012:225,3013:32,3014:20250503140506,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356990718529536$NJ4GBQSAX0000687$REALTIME$TIME:20250503140516,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.85,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:28.8411130,2602:113.2001660,3012:225,3013:32,3014:20250503140507,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356990722723840$NJ4GBQSAX0000687$REALTIME$TIME:20250503140516,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.85,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:4.1,2603:28.8411050,2602:113.2001580,3012:223,3013:32,3014:20250503140508,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356990726918144$NJ4GBQSAX0000687$REALTIME$TIME:20250503140516,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.85,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.6,2603:28.8410980,2602:113.2001510,3012:223,3013:32,3014:20250503140509,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356990731112448$NJ4GBQSAX0000687$REALTIME$TIME:20250503140516,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.85,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.6,2603:28.8410920,2602:113.2001440,3012:223,3013:32,3014:20250503140510,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356990735306752$NJ4GBQSAX0000687$REALTIME$TIME:20250503140516,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.85,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:4.1,2603:28.8410840,2602:113.2001360,3012:223,3013:32,3014:20250503140511,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356990739501056$NJ4GBQSAX0000687$REALTIME$TIME:20250503140516,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.85,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:28.8410770,2602:113.2001280,3012:223,3013:32,3014:20250503140512,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318356990743695360$NJ4GBQSAX0000687$REALTIME$TIME:20250503140516,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.85,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.6,2603:28.8410700,2602:113.2001220,3012:221,3013:32,3014:20250503140513,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357033190060032$NJ4GBQSAX0000687$REALTIME$TIME:20250503140526,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.86,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:4.3,2603:28.8410630,2602:113.2001130,3012:223,3013:32,3014:20250503140514,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357033194254336$NJ4GBQSAX0000687$REALTIME$TIME:20250503140526,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.86,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.7,2603:28.8410550,2602:113.2001070,3012:219,3013:32,3014:20250503140515,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357033198448640$NJ4GBQSAX0000687$REALTIME$TIME:20250503140526,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.86,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:28.8410480,2602:113.2000990,3012:220,3013:32,3014:20250503140516,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357033202642944$NJ4GBQSAX0000687$REALTIME$TIME:20250503140526,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.86,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:28.8410400,2602:113.2000920,3012:221,3013:32,3014:20250503140517,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357033206837248$NJ4GBQSAX0000687$REALTIME$TIME:20250503140526,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.86,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:28.8410330,2602:113.2000840,3012:222,3013:32,3014:20250503140518,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357033211031552$NJ4GBQSAX0000687$REALTIME$TIME:20250503140526,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.86,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:28.8410260,2602:113.2000770,3012:222,3013:32,3014:20250503140519,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357033215225856$NJ4GBQSAX0000687$REALTIME$TIME:20250503140526,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.86,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:28.8410200,2602:113.2000670,3012:230,3013:32,3014:20250503140520,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357057345060864$NJ4GBQSAX0000687$REALTIME$TIME:20250503140532,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.85,4033:1898,2204:4.5,2603:28.8410230,2602:113.2000550,3012:260,3013:32,3014:20250503140521,3015:19,3016:12,4014:0,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7318357033219420160$NJ4GBQSAX0000687$REALTIME$TIME:20250503140526,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.86,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:6,2603:28.8410360,2602:113.2000450,3012:309,3013:32,3014:20250503140522,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357033223614464$NJ4GBQSAX0000687$REALTIME$TIME:20250503140526,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.86,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:5.7,2603:28.8410500,2602:113.2000480,3012:350,3013:32,3014:20250503140523,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357078794711040$NJ4GBQSAX0000687$REALTIME$TIME:20250503140537,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.2,2603:28.8410570,2602:113.2000520,3012:3,3013:32,3014:20250503140524,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357078798905344$NJ4GBQSAX0000687$REALTIME$TIME:20250503140537,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:3.7,2603:28.8410620,2602:113.2000610,3012:35,3013:32,3014:20250503140525,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357078803099648$NJ4GBQSAX0000687$REALTIME$TIME:20250503140537,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:2.8,2603:28.8410660,2602:113.2000680,3012:43,3013:32,3014:20250503140526,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357078807293952$NJ4GBQSAX0000687$REALTIME$TIME:20250503140537,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:2.5,2603:28.8410690,2602:113.2000740,3012:51,3013:32,3014:20250503140527,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357078811488256$NJ4GBQSAX0000687$REALTIME$TIME:20250503140537,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:1.7,2603:28.8410730,2602:113.2000770,3012:45,3013:32,3014:20250503140528,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357078815682560$NJ4GBQSAX0000687$REALTIME$TIME:20250503140537,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0.4,2603:28.8410740,2602:113.2000780,3012:44,3013:32,3014:20250503140529,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357078819876864$NJ4GBQSAX0000687$REALTIME$TIME:20250503140537,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410740,2602:113.2000780,3012:0,3013:32,3014:20250503140530,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357078824071168$NJ4GBQSAX0000687$REALTIME$TIME:20250503140537,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410740,2602:113.2000780,3012:0,3013:32,3014:20250503140531,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357078828265472$NJ4GBQSAX0000687$REALTIME$TIME:20250503140537,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410740,2602:113.2000780,3012:0,3013:32,3014:20250503140532,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357078832459776$NJ4GBQSAX0000687$REALTIME$TIME:20250503140537,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410740,2602:113.2000780,3012:0,3013:32,3014:20250503140533,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357121266262016$NJ4GBQSAX0000687$REALTIME$TIME:20250503140547,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410740,2602:113.2000780,3012:0,3013:32,3014:20250503140534,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357121270456320$NJ4GBQSAX0000687$REALTIME$TIME:20250503140547,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410740,2602:113.2000780,3012:0,3013:32,3014:20250503140535,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357121274650624$NJ4GBQSAX0000687$REALTIME$TIME:20250503140547,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410740,2602:113.2000780,3012:0,3013:32,3014:20250503140536,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357121278844928$NJ4GBQSAX0000687$REALTIME$TIME:20250503140547,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410730,2602:113.2000780,3012:0,3013:32,3014:20250503140537,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357121283039232$NJ4GBQSAX0000687$REALTIME$TIME:20250503140547,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410730,2602:113.2000780,3012:0,3013:32,3014:20250503140538,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357121287233536$NJ4GBQSAX0000687$REALTIME$TIME:20250503140547,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410730,2602:113.2000780,3012:0,3013:32,3014:20250503140539,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357121291427840$NJ4GBQSAX0000687$REALTIME$TIME:20250503140547,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410730,2602:113.2000780,3012:0,3013:32,3014:20250503140540,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357121295622144$NJ4GBQSAX0000687$REALTIME$TIME:20250503140547,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410730,2602:113.2000780,3012:0,3013:32,3014:20250503140541,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357121299816448$NJ4GBQSAX0000687$REALTIME$TIME:20250503140547,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410730,2602:113.2000780,3012:0,3013:32,3014:20250503140542,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318357121304010752$NJ4GBQSAX0000687$REALTIME$TIME:20250503140547,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:221.87,4033:1898,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8410730,2602:113.2000780,3012:0,3013:32,3014:20250503140543,3015:19,3016:12,4014:0,2601:0,3019:0
