SUBMIT$7385323754907656192$EC73BD2506050018$REALTIME$TIME:20251104090717,gw:farm,3004:55,4042:1,4030:1,4031:0,4032:0.20,4033:6,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,2603:22.54082890,2602:107.79342390,2204:0,3012:80,3013:96,3014:20251104090717,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:1,4404:5,4040:0,4041:0,4043:0,4044:1
SUBMIT$7385324848853442560$EC73BD2506050018$REALTIME$TIME:20251104091138,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.28,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080370,2602:107.79310235,3012:89,3013:96,3014:20251104091129,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324848857636864$EC73BD2506050018$REALTIME$TIME:20251104091138,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.28,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.8,2603:22.54080388,2602:107.79311025,3012:90,3013:96,3014:20251104091130,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324848861831168$EC73BD2506050018$REALTIME$TIME:20251104091138,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.28,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080388,2602:107.79311816,3012:89,3013:96,3014:20251104091131,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324848866025472$EC73BD2506050018$REALTIME$TIME:20251104091138,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.28,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080390,2602:107.79312603,3012:90,3013:96,3014:20251104091132,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324848870219776$EC73BD2506050018$REALTIME$TIME:20251104091138,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.28,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3,2603:22.54080380,2602:107.79314191,3012:87,3013:96,3014:20251104091134,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324848874414080$EC73BD2506050018$REALTIME$TIME:20251104091138,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.28,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.8,2603:22.54080380,2602:107.79314988,3012:90,3013:96,3014:20251104091135,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324848878608384$EC73BD2506050018$REALTIME$TIME:20251104091138,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.28,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.1,2603:22.54080385,2602:107.79315780,3012:88,3013:96,3014:20251104091136,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324848886996992$EC73BD2506050018$REALTIME$TIME:20251104091138,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.28,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080380,2602:107.79316570,3012:88,3013:96,3014:20251104091137,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324890842628096$EC73BD2506050018$REALTIME$TIME:20251104091148,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.32,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.8,2603:22.54080380,2602:107.79317360,3012:88,3013:96,3014:20251104091138,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324890846822400$EC73BD2506050018$REALTIME$TIME:20251104091148,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.32,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3,2603:22.54080358,2602:107.79318943,3012:90,3013:96,3014:20251104091140,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324890851016704$EC73BD2506050018$REALTIME$TIME:20251104091148,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.32,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3,2603:22.54080356,2602:107.79319741,3012:90,3013:96,3014:20251104091141,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324890855211008$EC73BD2506050018$REALTIME$TIME:20251104091148,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.32,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080365,2602:107.79320528,3012:90,3013:96,3014:20251104091142,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324890859405312$EC73BD2506050018$REALTIME$TIME:20251104091148,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.32,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080365,2602:107.79321318,3012:89,3013:96,3014:20251104091143,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324890863599616$EC73BD2506050018$REALTIME$TIME:20251104091148,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.32,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080363,2602:107.79322106,3012:89,3013:96,3014:20251104091144,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324890867793920$EC73BD2506050018$REALTIME$TIME:20251104091148,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.32,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080355,2602:107.79322896,3012:87,3013:96,3014:20251104091145,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324890871988224$EC73BD2506050018$REALTIME$TIME:20251104091148,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.32,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080351,2602:107.79323686,3012:91,3013:96,3014:20251104091146,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324890876182528$EC73BD2506050018$REALTIME$TIME:20251104091148,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.32,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3,2603:22.54080356,2602:107.79324478,3012:90,3013:96,3014:20251104091147,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324890880376832$EC73BD2506050018$REALTIME$TIME:20251104091148,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.32,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080360,2602:107.79325271,3012:91,3013:96,3014:20251104091148,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324933284782080$EC73BD2506050018$REALTIME$TIME:20251104091158,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.36,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080365,2602:107.79326060,3012:93,3013:96,3014:20251104091149,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324933288976384$EC73BD2506050018$REALTIME$TIME:20251104091158,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.36,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080360,2602:107.79326851,3012:92,3013:96,3014:20251104091150,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324933293170688$EC73BD2506050018$REALTIME$TIME:20251104091158,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.36,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3,2603:22.54080360,2602:107.79327643,3012:89,3013:96,3014:20251104091151,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324933297364992$EC73BD2506050018$REALTIME$TIME:20251104091158,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.36,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080353,2602:107.79328433,3012:91,3013:96,3014:20251104091152,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324933301559296$EC73BD2506050018$REALTIME$TIME:20251104091158,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.36,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080345,2602:107.79329230,3012:90,3013:96,3014:20251104091153,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324933305753600$EC73BD2506050018$REALTIME$TIME:20251104091158,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.36,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080353,2602:107.79330013,3012:90,3013:96,3014:20251104091154,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324933309947904$EC73BD2506050018$REALTIME$TIME:20251104091158,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.36,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.8,2603:22.54080353,2602:107.79330805,3012:89,3013:96,3014:20251104091155,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324933314142208$EC73BD2506050018$REALTIME$TIME:20251104091158,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.36,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3,2603:22.54080355,2602:107.79331595,3012:90,3013:96,3014:20251104091156,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324933318336512$EC73BD2506050018$REALTIME$TIME:20251104091158,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.36,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080353,2602:107.79332386,3012:89,3013:96,3014:20251104091157,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324933322530816$EC73BD2506050018$REALTIME$TIME:20251104091158,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.36,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3,2603:22.54080343,2602:107.79333173,3012:89,3013:96,3014:20251104091158,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324975563374592$EC73BD2506050018$REALTIME$TIME:20251104091208,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.39,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3,2603:22.54080341,2602:107.79333963,3012:89,3013:96,3014:20251104091159,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324975567568896$EC73BD2506050018$REALTIME$TIME:20251104091208,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.39,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080345,2602:107.79334755,3012:89,3013:96,3014:20251104091200,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324975571763200$EC73BD2506050018$REALTIME$TIME:20251104091208,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.39,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080348,2602:107.79335548,3012:88,3013:96,3014:20251104091201,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324975580151808$EC73BD2506050018$REALTIME$TIME:20251104091208,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.39,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.8,2603:22.54080350,2602:107.79336346,3012:91,3013:96,3014:20251104091202,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324975584346112$EC73BD2506050018$REALTIME$TIME:20251104091208,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.39,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3,2603:22.54080340,2602:107.79337931,3012:88,3013:96,3014:20251104091204,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324975588540416$EC73BD2506050018$REALTIME$TIME:20251104091208,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.39,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.8,2603:22.54080331,2602:107.79338715,3012:90,3013:96,3014:20251104091205,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324975592734720$EC73BD2506050018$REALTIME$TIME:20251104091208,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.39,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080326,2602:107.79339501,3012:90,3013:96,3014:20251104091206,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324975596929024$EC73BD2506050018$REALTIME$TIME:20251104091208,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.39,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3,2603:22.54080325,2602:107.79340298,3012:89,3013:96,3014:20251104091207,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385324975601123328$EC73BD2506050018$REALTIME$TIME:20251104091208,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:0.39,4033:4,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:22.54080340,2602:107.79341090,3012:90,3013:96,3014:20251104091208,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325017674186752$EC73BD2506050018$REALTIME$TIME:20251104091218,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.2,2603:22.54080333,2602:107.79341773,3012:90,3013:96,3014:20251104091209,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325017678381056$EC73BD2506050018$REALTIME$TIME:20251104091218,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0.1,2603:22.54080331,2602:107.79341955,3012:44,3013:96,3014:20251104091210,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325017682575360$EC73BD2506050018$REALTIME$TIME:20251104091218,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080335,2602:107.79341935,3012:36,3013:96,3014:20251104091211,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325017686769664$EC73BD2506050018$REALTIME$TIME:20251104091218,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080331,2602:107.79341960,3012:101,3013:96,3014:20251104091212,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325017690963968$EC73BD2506050018$REALTIME$TIME:20251104091218,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0.7,2603:22.54080330,2602:107.79342201,3012:87,3013:96,3014:20251104091213,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325017695158272$EC73BD2506050018$REALTIME$TIME:20251104091218,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080340,2602:107.79342243,3012:343,3013:96,3014:20251104091214,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325017699352576$EC73BD2506050018$REALTIME$TIME:20251104091218,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080331,2602:107.79342246,3012:179,3013:96,3014:20251104091215,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325017703546880$EC73BD2506050018$REALTIME$TIME:20251104091218,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080331,2602:107.79342250,3012:1,3013:96,3014:20251104091216,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325017707741184$EC73BD2506050018$REALTIME$TIME:20251104091218,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080331,2602:107.79342246,3012:46,3013:96,3014:20251104091217,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325017711935488$EC73BD2506050018$REALTIME$TIME:20251104091218,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080326,2602:107.79342244,3012:178,3013:96,3014:20251104091218,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325059986333696$EC73BD2506050018$REALTIME$TIME:20251104091228,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080330,2602:107.79342250,3012:313,3013:96,3014:20251104091219,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325059990528000$EC73BD2506050018$REALTIME$TIME:20251104091228,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080328,2602:107.79342248,3012:342,3013:96,3014:20251104091220,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325059994722304$EC73BD2506050018$REALTIME$TIME:20251104091228,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080331,2602:107.79342251,3012:336,3013:96,3014:20251104091221,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325059998916608$EC73BD2506050018$REALTIME$TIME:20251104091228,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080328,2602:107.79342255,3012:112,3013:96,3014:20251104091222,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325060003110912$EC73BD2506050018$REALTIME$TIME:20251104091228,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080326,2602:107.79342253,3012:32,3013:96,3014:20251104091223,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325060007305216$EC73BD2506050018$REALTIME$TIME:20251104091228,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080330,2602:107.79342250,3012:13,3013:96,3014:20251104091224,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325060011499520$EC73BD2506050018$REALTIME$TIME:20251104091228,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080328,2602:107.79342253,3012:83,3013:96,3014:20251104091225,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325060015693824$EC73BD2506050018$REALTIME$TIME:20251104091228,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080331,2602:107.79342248,3012:53,3013:96,3014:20251104091226,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325060019888128$EC73BD2506050018$REALTIME$TIME:20251104091228,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080328,2602:107.79342251,3012:11,3013:96,3014:20251104091227,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325060024082432$EC73BD2506050018$REALTIME$TIME:20251104091228,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080325,2602:107.79342250,3012:10,3013:96,3014:20251104091228,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325102315249664$EC73BD2506050018$REALTIME$TIME:20251104091238,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080330,2602:107.79342250,3012:35,3013:96,3014:20251104091229,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325102319443968$EC73BD2506050018$REALTIME$TIME:20251104091238,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.40,4033:5,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54080330,2602:107.79342251,3012:338,3013:96,3014:20251104091230,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
